Banco;Red;Direccion;Terminales;Web;Actualización;Lon;Lat
Banco Supervielle;Banelco;JUSTO, JUAN B. AV. 1447;2;http://www.banelco.com/;mar-15;-58.434.403.112.705.300;-3.458.487.268.421.850
Banco Galicia;Banelco;JUSTO, JUAN B. AV. 1502;1;http://www.banelco.com/;mar-15;-58.434.730.043.268.100;-34.585.600.766.784.400
Banco Macro;Banelco;PERON, JUAN DOMINGO, TTE. GENERAL 562;1;http://www.banelco.com/;mar-15;-58.374.532.425.588.900;-34.605.864.963.087.500
Banco Galicia;Banelco;MANSO JUANA 1101;2;http://www.banelco.com/;mar-15;-58.362.896.460.918.800;-34.610.571.841.458.200
Banco Santander Río;Banelco;MANSO JUANA 1530;2;http://www.banelco.com/;mar-15;-58.361.790.004.470.200;-34.615.185.016.515.400
BBVA-Banco Francés;Banelco;MANSO JUANA 295;1;http://www.banelco.com/;mar-15;-58.364.018.087.975.300;-34.600.806.458.870.300
Banco Itaú;Banelco;MANSO JUANA 355;1;http://www.banelco.com/;mar-15;-58.363.938.801.019.400;-34.601.551.690.701.200
Banco Itaú;Banelco;MANSO JUANA 505;2;http://www.banelco.com/;mar-15;-58.363.731.054.345.500;-34.603.403.354.955.200
BBVA-Banco Francés;Banelco;MANSO JUANA 1124;2;http://www.banelco.com/;mar-15;-58.362.432.530.052.600;-34.610.773.829.169.400
Banco Santander Río;Banelco;JUNCAL 735;2;http://www.banelco.com/;mar-15;-5.837.761.916.073.480;-34.592.693.289.790.600
Banco Itaú;Banelco;JUNIN 1116;1;http://www.banelco.com/;mar-15;-58.397.560.932.145.300;-34.595.346.047.056.300
Banco Itaú;Banelco;JUNIN 1116;1;http://www.banelco.com/;mar-15;-58.397.560.932.145.300;-34.595.346.047.056.300
Banco Santander Río;Banelco;JURAMENTO AV. 1959;1;http://www.banelco.com/;mar-15;-58.452.708.586.455.100;-34.559.491.848.264.000
Banco Macro;Banelco;JURAMENTO AV. 2558;2;http://www.banelco.com/;mar-15;-58.458.053.488.042.900;-3.456.306.005.207.340
Banco Santander Río;Banelco;AGOTE, LUIS DR. 2202;2;http://www.banelco.com/;mar-15;-58.397.012.753.148.700;-34.587.000.277.276.300
Banco Supervielle;Banelco;LA PAMPA 2103;2;http://www.banelco.com/;mar-15;-58.451.647.324.181.000;-34.563.179.158.020.300
Citibank;Banelco;LARREA 955;1;http://www.banelco.com/;mar-15;-58.401.592.605.414.500;-34.596.976.099.503.900
Banco Galicia;Banelco;LAVALLE 1102;2;http://www.banelco.com/;mar-15;-58.382.473.892.561.800;-34.602.682.801.789.400
Banco Santander Río;Banelco;LAVALLE 1141;2;http://www.banelco.com/;mar-15;-58.382.912.759.653.800;-34.602.422.309.508.500
Banco Itaú;Banelco;LAVALLE 1354;2;http://www.banelco.com/;mar-15;-58.385.949.147.246.200;-34.602.911.277.614.400
Banco Patagonia;Banelco;LAVALLE 456;3;http://www.banelco.com/;mar-15;-58.373.262.883.475.900;-34.602.269.120.876.300
Banco Itaú;Banelco;LAVALLE 468;3;http://www.banelco.com/;mar-15;-58.373.422.215.618.500;-34.602.279.710.552.300
Banco Macro;Banelco;ALEM, LEANDRO N. AV. 1110;2;http://www.banelco.com/;mar-15;-58.373.569.606.303.400;-34.594.433.690.153.800
HSBC Argentina;Banelco;LIMA 93;2;http://www.banelco.com/;mar-15;-58.382.135.081.000.900;-34.609.598.584.241.300
Banco Itaú;Banelco;CAMPOS, LUIS M. AV. 1407;1;http://www.banelco.com/;mar-15;-58.442.570.214.587.000;-34.563.423.804.116.900
Citibank;Banelco;CAMPOS, LUIS M. AV. 515;2;http://www.banelco.com/;mar-15;-58.434.045.379.279.000;-34.571.732.982.157.400
Banco Patagonia;Banelco;LUZURIAGA 1650;1;http://www.banelco.com/;mar-15;-58.386.881.670.832.000;-34.654.470.862.676.500
Citibank;Banelco;GUEMES, MACACHA 330;1;http://www.banelco.com/;mar-15;-58.364.119.868.321.800;-34.604.669.907.338.800
Banco Santander Río;Banelco;MAIPU 440;2;http://www.banelco.com/;mar-15;-58.376.893.294.554.600;-34.602.976.351.048.000
HSBC Argentina;Banelco;MALABIA 1720;1;http://www.banelco.com/;mar-15;-5.842.599.112.606.410;-34.589.844.212.542.900
Banco Galicia;Banelco;ALVEAR, MARCELO T. DE 670;2;http://www.banelco.com/;mar-15;-58.376.521.758.344.200;-34.596.454.367.533.800
Banco Itaú;Banelco;BRAVO, MARIO 1050;1;http://www.banelco.com/;mar-15;-58.415.969.587.834.900;-34.597.235.339.339.000
HSBC Argentina;Banelco;MAURE 1691;3;http://www.banelco.com/;mar-15;-58.436.037.585.028.600;-3.456.648.826.877.750
ICBC;Banelco;MELIAN AV. 4620;2;http://www.banelco.com/;mar-15;-58.486.066.890.251.000;-34.547.232.978.126.200
Banco Supervielle;Banelco;MONTES DE OCA, MANUEL 1580;2;http://www.banelco.com/;mar-15;-5.837.310.282.069.390;-34.645.396.963.511.500
HSBC Argentina;Banelco;MONTES DE OCA, MANUEL 1701;1;http://www.banelco.com/;mar-15;-58.373.300.908.257.500;-34.646.907.743.957.900
Banco Supervielle;Banelco;MONTEVIDEO 498;1;http://www.banelco.com/;mar-15;-58.389.578.988.094.100;-34.603.176.066.219.300
Citibank;Banelco;MONTIEL 160;2;http://www.banelco.com/;mar-15;-58.526.082.197.659.400;-34.641.045.647.419.900
Banco Santander Río;Banelco;MORENO 2400;2;http://www.banelco.com/;mar-15;-58.400.092.745.141.300;-34.613.327.161.525.300
Banco Itaú;Banelco;MORENO 498;2;http://www.banelco.com/;mar-15;-58.373.294.544.946.200;-34.611.565.316.180.000
Banco Santander Río;Banelco;MORENO 838;2;http://www.banelco.com/;mar-15;-5.837.815.946.893.740;-34.611.865.152.766.300
Banco Supervielle;Banelco;MORENO 877;1;http://www.banelco.com/;mar-15;-58.378.729.420.741.100;-34.611.536.017.555.000
BBVA-Banco Francés;Banelco;MORENO 998;1;http://www.banelco.com/;mar-15;-5.838.033.679.779.220;-34.611.922.158.503.400
Banco Supervielle;Banelco;MANZANARES 4012;2;http://www.banelco.com/;mar-15;-58.483.851.114.575.500;-3.455.508.166.545.560
Banco Santander Río;Banelco;NAZARRE 3225;2;http://www.banelco.com/;mar-15;-58.495.119.756.297.900;-34.602.299.745.855.300
Banco Itaú;Banelco;NAZARRE 3262;3;http://www.banelco.com/;mar-15;-58.495.331.961.790.100;-34.602.870.180.190.700
HSBC Argentina;Banelco;VEDIA 3892;1;http://www.banelco.com/;mar-15;-58.489.369.013.967.600;-34.546.151.797.386.200
Banco Comafi;Banelco;NOGOYA 3135;1;http://www.banelco.com/;mar-15;-58.492.704.287.754.800;-34.603.188.726.462.300
BBVA-Banco Francés;Banelco;NOGOYA 3256;1;http://www.banelco.com/;mar-15;-58.494.058.508.864.500;-34.604.418.236.410.700
Banco Patagonia;Banelco;OLLEROS AV. 1712;1;http://www.banelco.com/;mar-15;-584.373.549.195.845;-34.564.727.520.178.800
Banco Santander Río;Banelco;OLLEROS AV. 1747;2;http://www.banelco.com/;mar-15;-58.438.150.838.688.300;-34.564.650.915.578.600
HSBC Argentina;Banelco;PARAGUAY 720;2;http://www.banelco.com/;mar-15;-58.377.181.486.977.300;-34.597.781.813.765.700
Banco Santander Río;Banelco;PARAGUAY 767;2;http://www.banelco.com/;mar-15;-583.778.812.783.181;-3.459.745.676.208.140
HSBC Argentina;Banelco;PARANA 242;2;http://www.banelco.com/;mar-15;-58.388.060.117.433.500;-34.606.056.333.976.700
Banco Itaú;Banelco;PARANA 370;1;http://www.banelco.com/;mar-15;-58.388.119.472.437.300;-34.604.504.106.906.400
Banco Galicia;Banelco;PARANA 450;1;http://www.banelco.com/;mar-15;-58.388.138.532.471.200;-34.603.525.190.014.000
Banco Santander Río;Banelco;PARANA 645;2;http://www.banelco.com/;mar-15;-58.387.848.551.390.000;-34.601.224.904.961.300
Banco Comafi;Banelco;PARANA 696;1;http://www.banelco.com/;mar-15;-58.388.310.407.195.800;-34.600.729.913.359.300
Banco Itaú;Banelco;PARANA 370;2;http://www.banelco.com/;mar-15;-58.388.119.472.437.300;-34.604.504.106.906.400
Citibank;Banelco;PASEO COLON AV. 800;2;http://www.banelco.com/;mar-15;-58.368.548.167.327.900;-34.616.884.800.654.100
Banco Galicia;Banelco;PAYSANDU 1842;1;http://www.banelco.com/;mar-15;-58.458.366.781.604.800;-34.603.760.674.860.400
Banco Santander Río;Banelco;PERDRIEL 74;2;http://www.banelco.com/;mar-15;-5.838.793.803.953.890;-3.463.457.813.499.530
ICBC;Banelco;DEALESSI, PIERINA 1186;2;http://www.banelco.com/;mar-15;-5.836.353.662.949.290;-34.611.463.192.733.400
Banco Santander Río;Banelco;DEALESSI, PIERINA 360;3;http://www.banelco.com/;mar-15;-58.364.666.226.376.400;-34.601.560.844.962.200
Banco Patagonia;Banelco;FALCON, RAMON L.,CNEL. 7145;1;http://www.banelco.com/;mar-15;-58.526.941.469.953.200;-34.640.123.601.370.200
BBVA-Banco Francés;Banelco;;2;http://www.banelco.com/;mar-15;-58.359.135.264.315.600;-34.624.345.187.725.800
Banco Santander Río;Banelco;RECONQUISTA 1104;2;http://www.banelco.com/;mar-15;-58.373.452.135.832.900;-34.594.928.292.825.000
BBVA-Banco Francés;Banelco;RECONQUISTA 175;4;http://www.banelco.com/;mar-15;-58.372.088.044.822.500;-3.460.580.252.687.170
Banco Supervielle;Banelco;RECONQUISTA 330;3;http://www.banelco.com/;mar-15;-58.372.627.903.098.600;-34.604.004.497.754.800
BBVA-Banco Francés;Banelco;RECONQUISTA 40;3;http://www.banelco.com/;mar-15;-58.372.425.434.521.500;-34.607.441.547.131.300
Banco Comafi;Banelco;RECONQUISTA 823;1;http://www.banelco.com/;mar-15;-58.372.609.162.800.900;-3.459.825.212.510.770
Citibank;Banelco;RECONQUISTA 966;1;http://www.banelco.com/;mar-15;-58.373.276.700.488.800;-34.596.609.696.629.500
Banco Supervielle;Banelco;RIVADAVIA AV. 2362;2;http://www.banelco.com/;mar-15;-58.399.910.293.044.300;-34.609.942.596.020.000
Banco Santander Río;Banelco;RODRIGUEZ PEÑA 1081;2;http://www.banelco.com/;mar-15;-58.391.708.079.000.700;-34.596.102.543.981.500
BBVA-Banco Francés;Banelco;RONDEAU 3002;1;http://www.banelco.com/;mar-15;-58.405.898.697.040.800;-34.636.068.536.118.300
HSBC Argentina;Banelco;SAENZ PEÑA, ROQUE, PRES. AV. 943;2;http://www.banelco.com/;mar-15;-58.380.091.741.922.200;-34.604.320.259.057.500
Banco Santander Río;Banelco;ROSARIO 804;3;http://www.banelco.com/;mar-15;-58.439.880.506.925.100;-34.620.689.777.997.900
ICBC;Banelco;RECONQUISTA 1070;2;http://www.banelco.com/;mar-15;-58.373.456.204.332.500;-34.595.406.742.469.800
HSBC Argentina;Banelco;SAN MARTIN 1225;1;http://www.banelco.com/;mar-15;-58.373.395.397.795.800;-34.593.344.265.341.700
Banco Santander Río;Banelco;SAN MARTIN 427;3;http://www.banelco.com/;mar-15;-5.837.364.909.471.710;-34.602.918.042.878.800
Banco Galicia;Banelco;SAN MARTIN 550;2;http://www.banelco.com/;mar-15;-58.374.165.539.608.500;-34.601.568.862.623.600
Banco Galicia;Banelco;SANTIAGO DEL ESTERO 446;2;http://www.banelco.com/;mar-15;-58.384.394.552.636.300;-34.613.840.389.908.800
Banco Comafi;Banelco;SARMIENTO 2659;1;http://www.banelco.com/;mar-15;-58.404.210.815.702.900;-34.606.247.201.805.600
Banco Itaú;Banelco;SARMIENTO 345;1;http://www.banelco.com/;mar-15;-5.837.165.549.824.350;-34.604.116.362.216.800
Banco Macro;Banelco;SARMIENTO 355;2;http://www.banelco.com/;mar-15;-58.371.787.480.581.700;-34.604.127.067.309.100
Banco Macro;Banelco;SARMIENTO 401;4;http://www.banelco.com/;mar-15;-58.372.563.053.101.900;-34.604.295.701.900.900
Banco Santander Río;Banelco;SARMIENTO 662;1;http://www.banelco.com/;mar-15;-58.376.002.701.829.300;-34.604.800.943.078.200
Banco Santander Río;Banelco;SARMIENTO 662;1;http://www.banelco.com/;mar-15;-58.376.002.701.829.300;-34.604.800.943.078.200
Banco Macro;Banelco;SARMIENTO 735;1;http://www.banelco.com/;mar-15;-58.377.103.398.882.300;-34.604.508.035.775.000
Banco Galicia;Banelco;SCALABRINI ORTIZ, RAUL AV. 945;2;http://www.banelco.com/;mar-15;-58.431.670.882.591.900;-345.955.618.706.396
Banco Macro;Banelco;SUAREZ AV. 1754;1;http://www.banelco.com/;mar-15;-58.375.108.140.233.200;-34.639.268.458.194.300
Banco Galicia;Banelco;SUCRE, ANTONIO JOSE DE, MCAL. 2162;3;http://www.banelco.com/;mar-15;-58.452.651.149.645.200;-34.562.721.689.244.600
Banco Santander Río;Banelco;SUIPACHA 1134;1;http://www.banelco.com/;mar-15;-58.380.172.317.804.600;-34.594.887.991.749.100
Banco Supervielle;Banelco;SUIPACHA 1280;2;http://www.banelco.com/;mar-15;-58.380.292.601.854.100;-34.593.143.698.852.700
Banco Galicia;Banelco;SUPERI 1801;2;http://www.banelco.com/;mar-15;-58.464.148.987.065.900;-34.570.449.706.218.600
Banco Supervielle;Banelco;TAGLE 2640;1;http://www.banelco.com/;mar-15;-58.399.863.741.133.600;-3.458.318.926.461.100
Banco Comafi;Banelco;TRIUNVIRATO AV. 4116;1;http://www.banelco.com/;mar-15;-58.479.307.162.101.300;-34.579.145.845.991.500
Banco Galicia;Banelco;PERON, JUAN DOMINGO, TTE. GENERAL 407;7;http://www.banelco.com/;mar-15;-58.372.462.965.515.300;-34.605.339.368.237.300
Banco Galicia;Banelco;PERON, JUAN DOMINGO, TTE. GENERAL 430;2;http://www.banelco.com/;mar-15;-58.372.719.578.636.900;-34.605.720.517.602.600
Banco Patagonia;Banelco;PERON, JUAN DOMINGO, TTE. GENERAL 500;1;http://www.banelco.com/;mar-15;-58.373.650.298.525.300;-34.605.791.547.439.000
BBVA-Banco Francés;Banelco;PERON, JUAN DOMINGO, TTE. GENERAL 588;3;http://www.banelco.com/;mar-15;-58.374.769.642.231.700;-34.605.883.510.829.700
Banco Patagonia;Banelco;PERON, JUAN DOMINGO, TTE. GENERAL 500;1;http://www.banelco.com/;mar-15;-58.373.650.298.525.300;-34.605.791.547.439.000
Banco Patagonia;Banelco;PERON, JUAN DOMINGO, TTE. GENERAL 500;3;http://www.banelco.com/;mar-15;-58.373.650.298.525.300;-34.605.791.547.439.000
BBVA-Banco Francés;Banelco;TUCUMAN 101;1;http://www.banelco.com/;mar-15;-58.369.508.177.923.300;-34.600.431.453.710.600
HSBC Argentina;Banelco;TUCUMAN 308;1;http://www.banelco.com/;mar-15;-58.371.361.946.579.200;-34.600.932.508.429.000
HSBC Argentina;Banelco;TUCUMAN 680;3;http://www.banelco.com/;mar-15;-58.376.421.064.977.600;-34.601.291.339.289.600
Banco Patagonia;Banelco;TUCUMAN 865;2;http://www.banelco.com/;mar-15;-58.379.099.726.218.100;-34.601.079.006.805.700
BBVA-Banco Francés;Banelco;URUGUAY 1031;1;http://www.banelco.com/;mar-15;-58.386.864.590.046.200;-34.596.621.742.572.200
HSBC Argentina;Banelco;URUGUAY 1071;4;http://www.banelco.com/;mar-15;-58.386.899.861.922.300;-34.596.113.058.657.000
ICBC;Banelco;URUGUAY 1081;2;http://www.banelco.com/;mar-15;-58.386.908.680.821.700;-34.595.985.886.573.000
Banco Supervielle;Banelco;URUGUAY 1163;1;http://www.banelco.com/;mar-15;-58.387.018.515.163.600;-34.595.033.816.146.900
Banco Patagonia;Banelco;USPALLATA 3400;1;http://www.banelco.com/;mar-15;-58.411.569.920.934.000;-34.639.773.250.144.500
Banco Santander Río;Banelco;VEDIA 3626;2;http://www.banelco.com/;mar-15;-58.487.655.310.131.300;-34.545.263.954.187.100
BBVA-Banco Francés;Banelco;REPUBLICA BOLIVARIANA DE VENEZUELA 538;1;http://www.banelco.com/;mar-15;-58.373.754.035.001.800;-34.613.938.550.642.800
ICBC;Banelco;VIAMONTE 1453;5;http://www.banelco.com/;mar-15;-58.387.493.121.286.800;-3.460.044.075.925.100
Citibank;Banelco;VIAMONTE 1548;1;http://www.banelco.com/;mar-15;-58.388.789.494.748.500;-34.600.859.916.165.200
HSBC Argentina;Banelco;VIAMONTE 1574;4;http://www.banelco.com/;mar-15;-58.389.162.274.125.800;-3.460.087.569.876.350
Banco Itaú;Banelco;VIAMONTE 1601;3;http://www.banelco.com/;mar-15;-58.389.722.021.053.600;-34.600.619.390.520.300
BBVA-Banco Francés;Banelco;VIAMONTE 1799;4;http://www.banelco.com/;mar-15;-58.392.569.038.217.200;-34.600.696.013.369.700
HSBC Argentina;Banelco;VIAMONTE 555;1;http://www.banelco.com/;mar-15;-58.374.802.693.911.000;-34.599.656.453.271.400
Banco Santander Río;Banelco;VIAMONTE 982;1;http://www.banelco.com/;mar-15;-58.380.853.492.793.400;-34.600.371.708.891.200
ICBC;Banelco;LOPEZ, VICENTE 2050;2;http://www.banelco.com/;mar-15;-58.393.756.761.883.700;-34.589.093.126.760.600
Banco del Sol;Banelco;CEVALLOS, VIRREY 313;1;http://www.banelco.com/;mar-15;-58.389.166.281.991.300;-34.612.638.585.682.000
BANCO PIANO S.A.;Link;TRIUNVIRATO AV. 4127;0;http://www.redlink.com.ar/;may-13;-58.479.165.126.399.600;-34.578.778.872.564.800
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;ROOSEVELT FRANKLIN D. AV. 5749;0;http://www.redlink.com.ar/;may-13;-58.494.665.608.852.300;-34.577.523.630.582.000
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;TRIUNVIRATO AV. 4635;0;http://www.redlink.com.ar/;may-13;-58.485.633.593.839.700;-34.574.597.379.521.200
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;TRIUNVIRATO AV. 4501;0;http://www.redlink.com.ar/;may-13;-58.484.330.356.620.100;-34.575.382.139.039.200
BANCO DE LA NACION ARGENTINA;Link;TRIUNVIRATO AV. 4802;0;http://www.redlink.com.ar/;may-13;-58.487.564.809.960.800;-34.573.597.729.666.400
CABAL COOP. LTDA.;Link;BUCARELLI 2696;0;http://www.redlink.com.ar/;may-13;-58.490.688.715.439.000;-34.573.578.907.216.000
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;TRIUNVIRATO AV. 4600;0;http://www.redlink.com.ar/;may-13;-58.485.490.407.767.900;-34.575.129.126.749.900
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;LAFUENTE 2862;0;http://www.redlink.com.ar/;may-13;-58.441.977.864.296.400;-34.659.958.184.889.200
CABAL COOP. LTDA.;Link;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 3314;0;http://www.redlink.com.ar/;may-13;-58.445.506.949.628.900;-34.661.991.281.273.100
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;RABANAL, FRANCISCO, INTENDENTE AV. y PERGAMINO;0;http://www.redlink.com.ar/;may-13;-58.440.155.162.091.600;-34.666.037.259.692.900
BANCO DE LA NACION ARGENTINA;Link;NAZCA AV. 1914;0;http://www.redlink.com.ar/;may-13;-58.480.920.035.483.500;-34.612.370.716.948.800
CABAL COOP. LTDA.;Link;NAZCA AV. 2208;0;http://www.redlink.com.ar/;may-13;-58.483.288.810.547.600;-34.609.380.093.388.900
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;LLAVALLOL 4307;0;http://www.redlink.com.ar/;may-13;-5.850.599.423.597.640;-34.593.179.068.429.400
CABAL COOP. LTDA.;Link;MOSCONI GENERAL AV. 2793;0;http://www.redlink.com.ar/;may-13;-58.501.085.743.512.200;-34.585.380.371.404.600
BANCO DE LA NACION ARGENTINA;Link;DE LOS CONSTITUYENTES AV. 5451;0;http://www.redlink.com.ar/;may-13;-58.499.901.386.865.700;-34.575.697.042.736.800
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;COMBATIENTES DE MALVINAS AV. 3062;0;http://www.redlink.com.ar/;may-13;-58.471.904.756.826.700;-34.585.836.447.776.900
BANCO DE LA NACION ARGENTINA;Link;ALVAREZ THOMAS AV. 1994;0;http://www.redlink.com.ar/;may-13;-5.846.930.704.491.330;-34.578.793.448.133.000
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;TRONADOR 801;0;http://www.redlink.com.ar/;may-13;-58.466.092.735.749.100;-34.583.721.026.969.800
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;TRIUNVIRATO AV. y DE LOS INCAS AV.;0;http://www.redlink.com.ar/;may-13;-58.474.310.206.328.700;-34.581.269.603.331.900
BANCO DE LA NACION ARGENTINA;Link;RIVADAVIA AV. 10249;0;http://www.redlink.com.ar/;may-13;-5.850.805.763.472.950;-34.638.584.533.453.500
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;MURGUIONDO 4349;0;http://www.redlink.com.ar/;may-13;-58.474.209.679.536.100;-34.678.350.050.230.800
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;ROCA, CNEL. AV. 5252;0;http://www.redlink.com.ar/;may-13;-58.455.182.822.682.400;-34.684.839.483.352.300
BANCO DE LA NACION ARGENTINA;Link;MURGUIONDO 4130;0;http://www.redlink.com.ar/;may-13;-58.475.989.828.961.500;-34.676.469.798.401.200
BANCO DE LA NACION ARGENTINA;Link;ROCA, CNEL. AV. 6787;0;http://www.redlink.com.ar/;may-13;-58.468.599.617.213.000;-3.469.629.368.538.970
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;PERON, EVA AV. 4834;0;http://www.redlink.com.ar/;may-13;-58.477.641.716.312.500;-34.657.113.099.056.700
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;SOLDADO DE LA FRONTERA AV. 5290;0;http://www.redlink.com.ar/;may-13;-58.462.681.017.027.200;-34.685.651.146.670.500
CABAL COOP. LTDA.;Link;ALVAREZ, DONATO, TTE. GRAL. AV. 2137;0;http://www.redlink.com.ar/;may-13;-58.464.956.896.935.200;-34.602.344.678.224.400
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;SAN MARTIN AV. 6827;0;http://www.redlink.com.ar/;may-13;-58.509.924.341.124.600;-34.591.878.298.469.500
BANCO PIANO S.A.;Link;SAN MARTIN AV. 7274;0;http://www.redlink.com.ar/;may-13;-58.516.375.908.428.900;-34.590.267.801.306.100
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;BEIRO, FRANCISCO AV. 5327;0;http://www.redlink.com.ar/;may-13;-58.525.875.268.956.600;-34.614.336.255.159.700
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;NUEVA YORK 3952;0;http://www.redlink.com.ar/;may-13;-58.511.055.284.839.500;-34.599.978.416.522.900
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;BEIRO, FRANCISCO AV. 3560;0;http://www.redlink.com.ar/;may-13;-58.502.724.597.981.000;-34.600.475.750.325.300
CABAL COOP. LTDA.;Link;SANABRIA 2963;0;http://www.redlink.com.ar/;may-13;-58.507.726.231.141.100;-3.460.930.239.833.270
BANCO DE LA NACION ARGENTINA;Link;MOSCONI GENERAL AV. 3581;0;http://www.redlink.com.ar/;may-13;-58.511.419.428.430.300;-34.591.706.239.949.600
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;VARELA, JOSE PEDRO 4750;0;http://www.redlink.com.ar/;may-13;-58.516.417.976.565.600;-34.610.453.770.366.900
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;NUEVA YORK 4020;0;http://www.redlink.com.ar/;may-13;-58.511.654.094.013.900;-34.600.347.871.671.700
BANCO DE LA NACION ARGENTINA;Link;BEIRO, FRANCISCO AV. 5252;0;http://www.redlink.com.ar/;may-13;-58.524.209.221.307.400;-34.613.656.222.738.900
BANCO DE LA NACION ARGENTINA;Link;CUENCA 2971;0;http://www.redlink.com.ar/;may-13;-58.494.300.209.797.100;-34.602.348.550.392.300
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;CUENCA 2755;0;http://www.redlink.com.ar/;may-13;-5.849.291.522.941.230;-34.604.128.554.691.200
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;NOGOYA 3174;0;http://www.redlink.com.ar/;may-13;-58.492.940.679.507.600;-34.603.767.374.466.900
BANCO DE LA NACION ARGENTINA;Link;SASTRE, MARCOS 3202;0;http://www.redlink.com.ar/;may-13;-58.491.895.438.459.200;-3.460.581.666.497.970
BANCO COLUMBIA S.A.;Link;NOGOYA 3132;0;http://www.redlink.com.ar/;may-13;-58.492.401.900.706.000;-34.603.453.664.099.400
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;CORRIENTES AV. 5066;0;http://www.redlink.com.ar/;may-13;-58.437.191.248.717.600;-3.460.059.572.887.820
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;CORRIENTES AV. 5399;0;http://www.redlink.com.ar/;may-13;-58.440.437.314.770.800;-3.459.811.846.868.760
BANCO DE LA NACION ARGENTINA;Link;CORRIENTES AV. 5401;0;http://www.redlink.com.ar/;may-13;-58.440.653.273.518.200;-34.597.913.937.931.100
BANCO DE LA NACION ARGENTINA;Link;WARNES AV. 1354;0;http://www.redlink.com.ar/;may-13;-58.454.966.064.146.400;-34.598.193.519.816.900
BANCO DE LA NACION ARGENTINA;Link;CORDOBA AV. 4402;0;http://www.redlink.com.ar/;may-13;-58.428.377.973.355.300;-34.595.533.678.748.900
CABAL COOP. LTDA.;Link;PUEYRREDON, HONORIO, DR. AV. 1891;0;http://www.redlink.com.ar/;may-13;-5.845.163.314.627.310;-34.600.239.126.313.200
METROPOLIS CÃA FINANCIERA;Link;CORRIENTES AV. 5254;0;http://www.redlink.com.ar/;may-13;-58.439.463.228.193.500;-3.459.952.449.660.810
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;CORRIENTES AV. 5273;0;http://www.redlink.com.ar/;may-13;-58.439.326.324.088.700;-34.599.109.570.603.500
CABAL COOP. LTDA.;Link;DRAGO, LUIS MARIA 440;0;http://www.redlink.com.ar/;may-13;-58.438.538.296.681.500;-34.600.413.511.473.700
BANCO PIANO S.A.;Link;SCALABRINI ORTIZ, RAUL AV. 381;0;http://www.redlink.com.ar/;may-13;-58.437.701.608.358.400;-34.599.421.894.280.600
CABAL COOP. LTDA.;Link;CAMARGO 544;0;http://www.redlink.com.ar/;may-13;-58.440.487.208.286.900;-34.600.392.791.662.400
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;ARAOZ 265;0;http://www.redlink.com.ar/;may-13;-58.438.405.528.761.300;-34.600.988.978.596.500
BANCO DE LA NACION ARGENTINA;Link;RIVADAVIA AV. 8699;0;http://www.redlink.com.ar/;may-13;-58.486.609.665.275.200;-34.634.795.782.720.100
BANCO DE LA NACION ARGENTINA;Link;ALVAREZ JONTE AV. 6383;0;http://www.redlink.com.ar/;may-13;-58.520.954.188.707.700;-34.633.682.195.756.400
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;RIVADAVIA AV. 8456;0;http://www.redlink.com.ar/;may-13;-58.482.887.716.611.000;-34.634.252.819.849.100
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;PERON, JUAN DOMINGO, TTE. GENERAL 566;0;http://www.redlink.com.ar/;may-13;-58.374.585.678.755.000;-34.605.869.394.875.300
BANCO DE LA PROVINCIA DE BUENOS AIRES;Link;ESMERALDA 645;0;http://www.redlink.com.ar/;may-13;-58.377.972.877.840.500;-3.460.070.027.788.330
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;TALCAHUANO 459;0;http://www.redlink.com.ar/;may-13;-58.385.035.592.913.600;-34.603.286.276.467.700
BANCO DE LA CIUDAD DE BUENOS AIRES;Link;DE MAYO AV. y LIMA;0;http://www.redlink.com.ar/;may-13;-58.381.940.468.552.600;-34.609.089.234.764.300
