Banco;Red;Direccion;Terminales;Web;Actualización;Lon;Lat
ICBC;Banelco;CORRIENTES AV. 2267;2;http://www.banelco.com/;mar-15;-58.399.066.289.519.100;-34.604.436.826.590.800
Banco Santander Río;Banelco;CORRIENTES AV. 2426;2;http://www.banelco.com/;mar-15;-58.401.168.445.707.700;-34.604.863.766.349.600
HSBC Argentina;Banelco;CORRIENTES AV. 2462;2;http://www.banelco.com/;mar-15;-58.401.615.459.898.700;-34.604.877.682.053.000
Banco Galicia;Banelco;CORRIENTES AV. 3148;2;http://www.banelco.com/;mar-15;-58.409.604.707.471.700;-34.604.249.867.597.200
HSBC Argentina;Banelco;CORRIENTES AV. 3158;1;http://www.banelco.com/;mar-15;-58.409.741.850.929.600;-34.604.241.071.781.400
BBVA-Banco Francés;Banelco;CORRIENTES AV. 3399;3;http://www.banelco.com/;mar-15;-58.412.992.666.937.400;-34.603.992.963.180.000
ICBC;Banelco;CORRIENTES AV. 366;3;http://www.banelco.com/;mar-15;-58.371.956.630.641.400;-34.603.294.927.931.400
Banco Itaú;Banelco;CORRIENTES AV. 3684;3;http://www.banelco.com/;mar-15;-58.416.596.157.493.300;-34.603.811.938.794.200
ICBC;Banelco;CORRIENTES AV. 3829;2;http://www.banelco.com/;mar-15;-5.841.844.678.195.380;-34.603.245.580.765.000
Banco Patagonia;Banelco;CORRIENTES AV. 400;3;http://www.banelco.com/;mar-15;-58.372.352.832.024.700;-34.603.309.338.336.100
Banco Santander Río;Banelco;CORRIENTES AV. 4136;3;http://www.banelco.com/;mar-15;-58.423.134.442.525.500;-34.603.140.230.937.900
Banco Galicia;Banelco;CORRIENTES AV. 4152;4;http://www.banelco.com/;mar-15;-58.423.371.475.202.800;-34.603.116.702.467.900
Banco Macro;Banelco;CORRIENTES AV. 4222;2;http://www.banelco.com/;mar-15;-58.424.470.899.755.200;-34.603.007.555.563.500
Banco Santander Río;Banelco;CORRIENTES AV. 4626;4;http://www.banelco.com/;mar-15;-58.430.646.756.597.300;-34.602.389.361.370.200
BBVA-Banco Francés;Banelco;CORRIENTES AV. 4694;3;http://www.banelco.com/;mar-15;-5.843.203.979.138.910;-34.602.223.212.167.700
HSBC Argentina;Banelco;CORRIENTES AV. 500;2;http://www.banelco.com/;mar-15;-58.373.737.967.107.600;-34.603.402.665.330.400
Banco Santander Río;Banelco;CORRIENTES AV. 5100;3;http://www.banelco.com/;mar-15;-58.437.640.728.129.000;-34.600.445.272.137.700
BBVA-Banco Francés;Banelco;CORRIENTES AV. 5117;1;http://www.banelco.com/;mar-15;-58.437.732.111.335.100;-346.000.256.692.843
Banco Galicia;Banelco;CORRIENTES AV. 5253;3;http://www.banelco.com/;mar-15;-58.439.137.690.817.700;-345.992.845.927.709
HSBC Argentina;Banelco;CORRIENTES AV. 5322;2;http://www.banelco.com/;mar-15;-58.440.132.666.019.400;-34.598.903.354.968.400
Banco Patagonia;Banelco;CORRIENTES AV. 5376;2;http://www.banelco.com/;mar-15;-5.844.061.383.893.460;-34.598.456.888.055.700
ICBC;Banelco;CORRIENTES AV. 5386;2;http://www.banelco.com/;mar-15;-58.440.702.944.429.300;-34.598.374.207.299.700
